extracted_symptom,linked_symptom
post COVID pneumonia,Pneumonia
syncope,Syncope
weakness,Injection site muscle weakness
SKIN IRRITATION,Skin irritation
tenderness,Tenderness
ERYTHEMA,Erythema
irritation,Eye irritation
TENDERNESS,Tenderness
dyspnea,Dyspnoea
a positive productive cough,Cough
left lower lobe pneumonia,Pneumonia
the community-acquired pneumonia,Pneumonia
Severe headache,Headache
more abdominal pain,Abdominal pain
nausea,Nausea
severe pain,Pain
cramps,Blepharospasm
back pain,Back pain
sharp abdominal pain,Abdominal pain
bleeding,Bleeding anovulatory
bleed,Bleeding anovulatory
swollen,Swollen tongue
sudden laryngitis,Laryngitis
TREMOR (shaking,Tremor
TREMOR (shaking) outcome,Tremor
DYSPHEMIA (stutter),Dysphemia
TREMOR (shaking),Tremor
MUSCLE TWITCHING (twitch),Muscle twitching
twitch,Muscle twitching
shaking,Palpitations
HYPOAESTHESIA (head numbness),Hypoaesthesia
HTN,Muscle tightness
hives,Urticaria
Prostate Cancer,Prostate cancer
No adverse event,No adverse event
No adverse event,No adverse event
No adverse event,No adverse event
AKI,Pollakiuria
PE,Alopecia
hyperkalemia,Hyperkalaemia
pleural effusion,Pleural effusion
tachycardia,Tachycardia
c/o tender left lower extremity swelling,Swelling
tenderness,Tenderness
the pain,Pain
Pain in my chest,Pain
a little the pain,Pain
chest pain,Chest pain
sore,Abdominal tenderness
vertigo,Vertigo
chest pain,Chest pain
No adverse event,No adverse event
immense pain,Pain
the pain,Pain
pain,Pain
pain in my stomach,Pain
The pain,Pain
No adverse event,No adverse event
the pain,Pain
dysuria,Dysuria
right leg pain,Pain
stabbing,Haemodynamic instability
nausea,Nausea
abd pain,Pain
chills,Chills
numbness,Apathy
hematuria,Haematuria
fevers,Pyrexia
vomiting,Vomiting
chest pain,Chest pain
rash,Rash
No adverse event,No adverse event
BALANCE DISORDER,Balance disorder
the swelling,Swelling
symptoms,Lower urinary tract symptoms
itching,Muscle twitching
red,Extra dose administered
sore,Abdominal tenderness
Profound fatigue,Fatigue
nausea,Nausea
Nausea,Nausea
The fatigue,Fatigue
fatigued,Fatigue
nasal congestion,Nasal congestion
strep,Pharyngitis streptococcal
residual fatigue,Fatigue
throat pain,Pain
congestion,Ear congestion
stroke,Cerebellar stroke
HTN,Muscle tightness
MI,Abdominal X-ray
general malaise,Malaise
ischemia,Brain stem ischaemia
No adverse event,No adverse event
pain,Pain
hives,Urticaria
Symptoms,Lower urinary tract symptoms
"Alopecia Areata""",Alopecia areata
VACCINATION FAILURE,Vaccination failure
vaccination failure,Vaccination failure
"Androgenic Alopecia""",Alopecia
My neck pain,Neck pain
cramps,Blepharospasm
back pain,Back pain
strong headaches,Headache
unstable,Amniotic fluid volume increased
achy,Atrial tachycardia
adverse event,Adverse event
PYREXIA,Pyrexia
BACK PAIN (pain in the back,Back pain
pain in the back,Pain
anxiety),Anxiety
PAIN IN EXTREMITY,Pain in extremity
Depression (depression,Major depression
PAIN (achy),Pain
BALANCE DISORDER,Balance disorder
Cystitis interstitial,Cyst
FEELING ABNORMAL (unstable),Feeling abnormal
Hypertension,Hypertension
Anxiety (depression,Anxiety
MUSCLE SPASMS (chronic spasms in her jaw,Muscle spasms
MUSCLE SPASMS,Muscle spasms
feverish,Febrile convulsion
nausea,Nausea
injury,Injury
myalgias,Myalgia
mechanical Fall,Fall
No adverse event,No adverse event
CHRONIC PAIN,Pain
MUSCLE MASS,Muscle mass
SYSTEMIC JOINT SWELLING,Joint swelling
DISCOMFORT,Discomfort
lacrimation,Lacrimation decreased
lymphadenopathy,Lymphadenopathy
illness,Illness
discomfort,Discomfort
dysphagia,Dysphagia
PRODUCTIVE COUGH,Productive cough
RHINORRHOEA,Rhinorrhoea
Phlegm,Lethargy
ILLNESS,Illness
LYMPHADENOPATHY,Lymphadenopathy
DYSPHAGIA,Dysphagia
productive cough,Productive cough
rhinorrhoea,Rhinorrhoea
No adverse event,No adverse event
very fatigue,Fatigue
a terrible headache,Headache
allergies,Allergy test
congestion,Ear congestion
very fatigued,Fatigue
pain,Pain
nasal congestion,Nasal congestion
Internal Tremors throughout body,Tremor
Persistent headache,Headache
post exertional malaise,Malaise
derealization,Derealisation
Tremors in hand,Tremor
extreme fatigue,Fatigue
MYALGIA (sore arm),Myalgia
TINNITUS,Tinnitus
MYALGIA (sore arm,Myalgia
Gastrointestinal hemorrhage,Gastrointestinal haemorrhage
chills,Chills
fatigue,Fatigue
tendonitis,Tendonitis
vertigo,Vertigo
knee pain,Pain
discomfort,Discomfort
chest pain,Chest pain
shooting sharp pain in arms/legs,Pain
tachycardia,Tachycardia
blurred vision,Vision blurred
limb discomfort,Limb discomfort
heart palpitations,Palpitations
dizziness,Dizziness
pulsatile tinnitus,Tinnitus
peripheral neuropathy,Neuropathy peripheral
heart rate spikes,Heart rate
electric shock sensation in head,Electric shock sensation
nerve pain,Pain
a migraine,Migraine
pain,Pain
pain expectations,Pain
left wound,Wound
complication,Complication of pregnancy
nauseated,Nausea
a headache,Headache
a throat pain,Pain
nasty cough,Cough
a sharp pain,Pain
antiphospholipid,Antiphospholipid antibodies
pneumonia,Pneumonia
lupus,Lupus nephritis
thrombocytopenia,Thrombocytopenia
Sepsis,Sepsis
acute hypoxic respiratory failure,Acute respiratory failure
tachycardic,Tachycardia
metastatic disease,Tic
bacteria,Bacterial infection
diffuse abdominal pain,Abdominal pain
perihepatic ascites,Ascites
leukocytosis,Leukocytosis
Bladder Ca,Bladder scan
esterase,C1 esterase inhibitor test
abdominal pain,Abdominal pain
dysuria,Dysuria
hypoxic,Hypoxic-ischaemic encephalopathy
COVID pneumonia,COVID-19 pneumonia
UTI,Therapeutic procedure
febrile,Febrile convulsion
constipation,Constipation
cough,Cough
HEADACHE,Headache
LIMB DISCOMFORT,Limb discomfort
PYREXIA,Pyrexia
NASAL CONGESTION,Nasal congestion
CHEST DISCOMFORT,Chest discomfort
NASAL CONGESTION (nasal congestion),Nasal congestion
FATIGUE (fatigue),Muscle fatigue
nasal congestion),Nasal congestion
CHEST DISCOMFORT (chest discomfort,Chest discomfort
headache,Headache
NAUSEA (nausea) outcome,Nausea
NAUSEA,Nausea
chest discomfort,Chest discomfort
fatigue,Fatigue
coughing,Cough
nausea,Nausea
ILLNESS,Illness
nasal congestion,Nasal congestion
COUGH (coughing),Cough
LIMB DISCOMFORT (sore arm),Discomfort
completely unresolved COVID-19 symptoms,COVID-19
My long COVID-19 symptoms,COVID-19
tenderness,Tenderness
COVID breakthrough,Breakthrough COVID-19
Cough,Cough
a cough,Cough
cough,Cough
No adverse event,No adverse event
RASH ON FACE,Rash
fever,Pyrexia
diarrhea,Diarrhoea
chills,Chills
COVID,Asymptomatic COVID-19
cough,Cough
a cough,Cough
a fall smelling urine,Fall
lower extremity swelling,Swelling
urinary tract infections,Urinary tract infection
chills,Chills
bloody,Bloody discharge
low back pain,Back pain
hypertension,Hypertension
coughing,Cough
dysuria,Dysuria
hypokalemia,Hypokalaemia
migraines,Migraine
COVID-19 illness,COVID-19
Acute hypoxemic respiratory failure,Acute respiratory failure
anxiety,Anxiety
thrombocytopenia,Thrombocytopenia
celiac disease,Coeliac disease
chronic thrombocytopenia,Thrombocytopenia
hypoxic,Hypoxic-ischaemic encephalopathy
recent hypotension,Hypotension
septic shock,Septic shock
Asymptomatic COVID-19 infection positive,Asymptomatic COVID-19
acute on chronic normocytic iron deficiency anemia,Iron deficiency
bruising,Injection site bruising
decrease swelling,Swelling
leak,Stent-graft endoleak
low Ejection Fraction,Ejection fraction
racing heart rate,Heart rate
Dizziness,Dizziness
sweating,Hyperhidrosis
some dizziness,Dizziness
headache,Headache
queasy,Nausea
Extreme pain in lower back,Pain
symptoms,Lower urinary tract symptoms
a headache,Headache
slight fatigue,Fatigue
severe fatigue,Fatigue
COVID 19 pneumonia,COVID-19 pneumonia
acute hypoxic respiratory failure,Acute respiratory failure
pneumonia,Pneumonia
CVA,Cerebrovascular accident
microcytic anemia,Tic
HFpEF diastolic dysfunction,Diastolic dysfunction
rheumatic fever,Tic
Wheezing,Wheezing
dyspnea,Dyspnoea
HTN,Muscle tightness
elevated,Atelectasis
hypoxia,Hypoxia
hypothyroidism,Hypothyroidism
cough,Cough
Respiratory failure,Respiratory failure
essential tremor,Tremor
legionella,Legionella test
strep,Pharyngitis streptococcal
CAD,Wheelchair user
Leukocytosis,Leukocytosis
AKI,Pollakiuria
supratherapeutic INR,Tic
ARDS,Stress
COVID-19 pneumonia,COVID-19 pneumonia
fever,Pyrexia
chills,Chills
chest pain,Chest pain
No adverse event,No adverse event
No adverse event,No adverse event
HTN,Muscle tightness
COVID-19 infection,COVID-19
"""dog bite wounds",Wound
anxiety/depression,Anxiety
lethargy,Lethargy
chills,Chills
sweats,Night sweats
fevers,Pyrexia
PYREXIA,Pyrexia
Diabetes,Diabetes mellitus
chills,Chills
CHILLS,Chills
Anxiety,Anxiety
asthma,Asthma
small rashes,Rash
the rash,Rash
his asthma,Asthma
RASH,Rash
Asthma,Asthma
a skin reaction,Skin reaction
rash,Rash
transverse myelitis,Myelitis transverse
the rash,Rash
extreme pain in my right leg,Pain
Near full body rash,Rash
symptoms,Lower urinary tract symptoms
my pain symptoms,Pain
any adverse reaction,Adverse reaction
COVID-19 INFECTION,COVID-19
CLINICAL VACCINATION FAILURE,Vaccination failure
covid-19 infection,COVID-19
clinical vaccination failure,Vaccination failure
hypoxic,Hypoxic-ischaemic encephalopathy
pneumocystis pneumonia,Cyst
cryptococcal pneumonia,Pneumonia
AIDS,Acquired immunodeficiency syndrome
right upper quadrant abdominal pain,Abdominal pain
HIV,HIV test
No adverse event,No adverse event
TACHYCARDIA,Tachycardia
bacteria,Bacterial infection
adverse events,Adverse event
pulmonary embolism,Pulmonary embolism
sinus tachycardia,Sinus tachycardia
tachycardia,Tachycardia
DYSPNOEA,Dyspnoea
lung scaring,Scar
fever,Pyrexia
chills,Chills
symptoms,Lower urinary tract symptoms
No adverse event,No adverse event
nausea,Nausea
weakness,Injection site muscle weakness
symptoms,Lower urinary tract symptoms
vomiting,Vomiting
stroke,Cerebellar stroke
No adverse event,No adverse event
dizziness,Dizziness
Dysphagia,Dysphagia
dry mouth,Dry mouth
saliva,Biopsy salivary gland
Fever,Pyrexia
worsening mutifocal pneumonia,Pneumonia
influenza,Influenza
thrombocytopenia,Thrombocytopenia
covid,Asymptomatic COVID-19
death,Death
headache,Headache
nausea,Nausea
pneumonia,Pneumonia
extreme fatigue,Fatigue
cough,Cough
The pain,Pain
Joint pain,Pain
sinus rhythm,Sinus rhythm
No adverse event,No adverse event
hives,Urticaria
lightheaded,Pupillary light reflex tests abnormal
fatigue,Fatigue
appetite,Appetite disorder
nausea,Nausea
insomnia,Insomnia
Symptoms,Lower urinary tract symptoms
sinus tachycardia,Sinus tachycardia
vertigo,Vertigo
a cough,Cough
pneumonia,Pneumonia
b/l LE swelling,Swelling
chest pain,Chest pain
HTN,Muscle tightness
his chronic cough,Cough
chills,Chills
R>L,Bronchoalveolar lavage
adominal pain,Abdominal pain
orthopnea,Orthopnoea
obesity,Obesity
fevers,Pyrexia
the adverse event,Adverse event
PARAESTHESIA,Paraesthesia
"Tinnitus in left ear""",Tinnitus
TINNITUS,Tinnitus
Tinnitus in left ear,Tinnitus
paraesthesia,Paraesthesia
tinnitus,Tinnitus
"""tinnitus in left ear",Tinnitus
Neuromyelitis Optica Spectrum Disorder,Neuromyelitis optica spectrum disorder
NEUROMYELITIS OPTICA SPECTRUM DISORDER,Neuromyelitis optica spectrum disorder
New-onset Neuromyelitis Optica Spectrum Disorder,Neuromyelitis optica spectrum disorder
Neuromyelitis optica spectrum disorder,Neuromyelitis optica spectrum disorder
her discomfort,Discomfort
itching,Muscle twitching
temperature excursion,Product temperature excursion issue
an adverse event,Adverse event
COVID-19 INFECTION,COVID-19
Clinical Vaccination Failure,Vaccination failure
CLINICAL VACCINATION FAILURE,Vaccination failure
covid-19 infection,COVID-19
clinical vaccination failure,Vaccination failure
lightheaded,Pupillary light reflex tests abnormal
fever,Pyrexia
tiredness,Fatigue
pain,Pain
the pain,Pain
pain in every joint,Pain
debilitating fatigue,Fatigue
the joint pain,Pain
The pain,Pain
joint pain,Pain
bad fatigue,Fatigue
a little hip pain,Pain
confused,Clostridium difficile colitis
very fatigued,Fatigue
depressed,Depressed level of consciousness
No adverse event,No adverse event
PALPITATIONS,Palpitations
chest discomfort,Chest discomfort
Heart palpitations,Palpitations
Chest discomfort,Chest discomfort
heart palpitations,Palpitations
CHEST DISCOMFORT,Chest discomfort
PALPITATIONS (Heart palpitations,Palpitations
No adverse event,No adverse event
temperature excursion,Product temperature excursion issue
adverse reactions,Adverse reaction
bruxism,Bruxism
BRUXISM,Bruxism
pain,Pain
chills,Chills
achy,Atrial tachycardia
coughing,Cough
some chills,Chills
a headache and stuffy nose,Headache
sinus drainage,Drainage
sneezing,Sneezing
confused,Clostridium difficile colitis
abdominal pain,Abdominal pain
mental status change,Mental status changes
shaking chills,Chills
nausea emesis,Nausea
nausea,Nausea
agita,Agitation
emesis,Haematemesis
Nausea,Nausea
palpitations,Palpitations
any nausea emesis,Nausea
tachycardia diaphoresis,Tachycardia
Vomiting,Vomiting
feet swelling,Swelling
leg pain,Pain
symptoms,Lower urinary tract symptoms
clotting,Coagulation test
headache,Headache
fever,Pyrexia
recurrence symptoms,Symptom recurrence
diarrhea,Diarrhoea
symptoms,Lower urinary tract symptoms
Migraine headache,Headache
nausea,Nausea
Headache,Headache
low fever fatigue,Fatigue
No adverse event,No adverse event
spasticity,Muscle spasticity
multiple sclerosis relapse,Multiple sclerosis relapse
a spinal cord injury,Injury
Alopecia,Alopecia
muscle spasticity,Muscle spasticity
alopecia,Alopecia
relapse multiple sclerosis,Multiple sclerosis
MASSIVE RELAPSE MULTIPLE SCLEROSIS,Multiple sclerosis relapse
massive relapse multiple sclerosis (bedridden,Bedridden
massive relapse multiple sclerosis,Multiple sclerosis relapse
multiple sclerosis,Multiple sclerosis
leiomyosarcoma,Coma
Pain,Pain
chest pain,Chest pain
FEELING ABNORMAL,Feeling abnormal
PAIN,Pain
Acute illness,Illness
adverse event,Adverse event
any adverse event,Adverse event
VOMITING,Vomiting
TASTE DISORDER,Taste disorder
PALPITATIONS,Palpitations
HEADACHE,Headache
Nausea,Nausea
FEELING ABNORMAL,Feeling abnormal
vomiting,Vomiting
HYPERACUSIS,Hyperacusis
PHOTOPHOBIA,Photophobia
HYPERACUSIS (Noise sensitivity,Hyperacusis
bad headache,Headache
fever,Pyrexia
FATIGUE,Fatigue
tired,Fatigue
chills,Chills
PRURITUS,Pruritus
DIZZINESS,Dizziness
hives,Urticaria
the heart palpitations,Palpitations
itching,Muscle twitching
headache,Headache
NAUSEA,Nausea
bad headache),Headache
nausea,Nausea
NAUSEA (Nausea) outcome,Nausea
Headache,Headache
headache,Headache
hallucinations,Hallucination
nausea,Nausea
Nausea,Nausea
dizziness,Dizziness
Fever,Pyrexia
No adverse event,No adverse event
pneumonia,Pneumonia
the illness,Illness
allergies,Allergy test
No adverse event,No adverse event
bruised,Wound
tender,Abdominal tenderness
severe headaches,Headache
vomiting,Vomiting
dizziness,Dizziness
stroke,Cerebellar stroke
No adverse event,No adverse event
ADVERSE EVENT,Adverse event
adverse event,Adverse event
rash macular,Rash macular
Arthritis,Arthritis
Hyperlipidemia,Hyperlipidaemia
CONTUSION (non-serious),Contusion
bruising,Injection site bruising
contusion,Contusion
PRURITUS,Pruritus
RASH MACULAR (non-serious),Rash
pruritus,Pruritus
furuncle,Furuncle
itching,Muscle twitching
No adverse event,No adverse event
rashes,Rash
ORAL MUCOSAL ERUPTION,Oral mucosal eruption
rashes in mouth and lips),Rash
rashes on her upper body,Rash
FEELING ABNORMAL,Feeling abnormal
SKIN ULCER,Skin ulcer
RASH,Rash
rashes in lips,Rash
CHEILITIS,Cheilitis
rashes in mouth and lips,Rash
congestion,Ear congestion
Symptoms,Lower urinary tract symptoms
fatigue,Fatigue
scratchy throat,Scratch
Pericarditis,Pericarditis
chest pain,Chest pain
No adverse event,No adverse event
gross conjunctival injection,Injection
pulmonary embolism,Pulmonary embolism
resp distress,Stress
injury,Injury
right-sided lower abdominal pain,Abdominal pain
vomiting,Vomiting
The abdominal pain,Abdominal pain
chest pain,Chest pain
fever,Pyrexia
illness,Illness
visible rash,Rash
COVID-19 infection,COVID-19
chills,Chills
edema,Oedema
metastatic breast cancer,Breast cancer metastatic
PE,Alopecia
recent fall,Fall
positive right lower quadrant tenderness,Tenderness
her illness,Illness
murmur,Cardiac murmur
rub,Blood bilirubin
headache,Headache
coughing,Cough
diarrhea,Diarrhoea
syncope,Syncope
respiratory symptoms,Respiratory symptom
multiple falls,Fall
weakness,Injection site muscle weakness
Plaque psoriasis,Psoriasis
CONDITION AGGRAVATED (Scalp and feet being worse) outcome,Condition aggravated
SKIN DISORDER,Skin disorder
CONDITION AGGRAVATED (Scalp and feet being worse,Condition aggravated
ADHD,Attention deficit hyperactivity disorder
oral herpes,Oral herpes
this constant cough,Cough
fever,Pyrexia
fatigue,Fatigue
coughing,Cough
No adverse event,No adverse event
No adverse event,No adverse event
FATIGUE,Fatigue
fatigued,Fatigue
FATIGUE (feel fatigued,Fatigue
No adverse event,No adverse event
burns,Sunburn
the rash,Rash
Skin rash,Rash
inflammation,Inflammation
The rash,Rash
hives,Urticaria
eczema,Eczema
leg pain,Pain
bipolar disorder,Bipolar disorder
chronic obstructive pulmonary disease,Chronic obstructive pulmonary disease
hypertension,Hypertension
hypoxic,Hypoxic-ischaemic encephalopathy
Respiratory failure,Respiratory failure
hypertensive,Hypertensive emergency
chest pain,Chest pain
adverse event,Adverse event
No adverse event,No adverse event
Slight pain at injection site,Injection
redness,Inflammation
chills,Chills
moderate headache,Headache
itching at injection site,Injection
chest pain,Chest pain
Plaque psoriasis,Psoriasis
No adverse event,No adverse event
The injury,Injury
a ground level fall,Fall
COVID,Asymptomatic COVID-19
pain in his head,Pain
TINNITUS (tinnitus),Tinnitus
TINNITUS (tinnitus) outcome,Tinnitus
tinnitus,Tinnitus
SLEEP DISORDER,Sleep disorder
symptoms,Lower urinary tract symptoms
RASH (rash,Butterfly rash
adverse event,Adverse event
RASH,Rash
rash,Rash
HTN,Muscle tightness
"""recurrent falls""",Fall
recent COVID pneumonia,Pneumonia
Covid 19 infection,COVID-19
complications,Complication of pregnancy
new intraventricular hemorrhage,Intraventricular haemorrhage
No adverse event,No adverse event
fever,Pyrexia
headaches,Headache
nausea,Nausea
asthma symptoms,Asthma
chills,Chills
muscle pain,Pain
weakness,Injection site muscle weakness
chest pain,Chest pain
cough,Cough
headache,Headache
fever,Pyrexia
diarrhea,Diarrhoea
Nausea,Nausea
symptoms,Lower urinary tract symptoms
vomiting,Vomiting
fever,Pyrexia
Severe fever chills,Chills
tiredness,Fatigue
the chills,Chills
adverse reaction,Adverse reaction
night sweats,Night sweats
headache,Headache
fever,Pyrexia
chills,Chills
Symptoms,Lower urinary tract symptoms
sick,Motion sickness
discomfort swallowing,Discomfort
GastroEsophageal Reflux Disease,Gastrooesophageal reflux disease
foreign body,Foreign body ingestion
a headache,Headache
tired,Fatigue
congestion,Ear congestion
a cough,Cough
a dry scratchy throat,Scratch
pain at the injection site,Injection site pain
cough,Cough
patient death,Death
The combined pneumonia,Pneumonia
sepsis,Sepsis
tachycardic,Tachycardia
COVID,Asymptomatic COVID-19
These infections,Infection
cardiac arrest,Cardiac arrest
asystole,Extrasystoles
Community Acquired Pneumonia,Pneumonia
tissue hypoxia,Hypoxia
Pneumonia,Pneumonia
complicated urinary tract infection,Infection
urinary tract infection,Urinary tract infection
combined bacterial and COVID pneumonia,Pneumonia
Complicated Urinary Tract Infection,Infection
"Gastroesophageal reflux disease""",Gastrooesophageal reflux disease
left neck swelling,Swelling
carpal tunnel,Carpal tunnel syndrome
tender,Abdominal tenderness
the pain,Pain
hazy,Vision blurred
vague,Fibrin D dimer
symptoms,Lower urinary tract symptoms
a vein collapsed,Vein collapse
trauma,Traumatic lung injury
feverish,Febrile convulsion
the pain of carpal tunnel,Pain
sore,Abdominal tenderness
rash,Rash
rashes,Rash
achy,Atrial tachycardia
a headache,Headache
a rash on my stomach,Rash
itching,Muscle twitching
No adverse event,No adverse event
Fever,Pyrexia
depression,Depression
vaccination failure,Vaccination failure
hyperlipidemia,Hyperlipidaemia
morbid obesity,Obesity
COVID-19,COVID-19
htn,Muscle tightness
lightheaded,Pupillary light reflex tests abnormal
diaphoretic,Tic
symptoms,Lower urinary tract symptoms
cataracts,Cataract
VISION BLURRED,Vision blurred
eye pain,Eye pain
hypoxia,Hypoxia
MY INFECTION,Infection
FEVER,Pyrexia
COUGH,Cough
a pain,Pain
fatigue,Fatigue
No adverse event,No adverse event
vomiting,Vomiting
Acute Kidney Injury,Acute kidney injury
COVID-19 infection,COVID-19
left posterior shoulder pain,Pain
some left low back pain,Back pain
Type 1 Diabetes,Type 1 diabetes mellitus
abdominal pain,Abdominal pain
dysuria,Dysuria
nausea,Nausea
hematuria,Haematuria
Diabetic Keto Acidosis,Diabetic ketoacidosis
fevers,Pyrexia
symptom,Allergic respiratory symptom
migraine,Migraine
a severe migraine,Migraine
ADVERSE EVENT,Adverse event
adverse event,Adverse event
significant atrophy in my forearm,Atrophy
an injury,Injury
arm and nerve pain,Pain
Excessive amniotic fluid,Tic
polyhydramnios,Polyhydramnios
death,Death
recent COVID 19 infection,COVID-19
"""Arthritis",Arthritis
""" urinary retention",Urinary retention
fever,Pyrexia
nausea,Nausea
migraine,Migraine
malaise,Malaise
generalized body pain,Pain
extreme fatigue,Fatigue
Headache,Headache
weakness,Injection site muscle weakness
Weakness,Injection site muscle weakness
No adverse event,No adverse event
a throbbing and burning sensation at the injection site,Burning sensation
symptoms,Lower urinary tract symptoms
hypoxic,Hypoxic-ischaemic encephalopathy
LOC,Atrioventricular block
bradycardic,Bradycardia
an asthma attack,Asthma
headache,Headache
fever,Pyrexia
neck pain,Neck pain
swollen,Swollen tongue
red,Extra dose administered
painful,Pain
numbness,Apathy
Left axillary lymphoid node swelling,Swelling
painful,Pain
large erythema area,Erythema
Migraine HA symptoms,Migraine
Trigeminal neuralgia symptoms,Trigeminal neuralgia
Injection site swelling,Injection site swelling
fevers,Pyrexia
"Left face, jaw, eye, and ear pain",Ear pain
No adverse event,No adverse event
GI distress,Stress
congestion,Ear congestion
worsening back pain,Back pain
C. pneumonia,Pneumonia
hypoxia,Hypoxia
COVID-19 infection,COVID-19
back pain,Back pain
worsening malaise,Malaise
PE,Alopecia
CP abdominal pain,Abdominal pain
Aspergillus,Aspergillus test negative
rods,Alcohol test negative
acute hypoxemic respiratory failure,Acute respiratory failure
CAP,Capillary disorder
dysuria,Dysuria
diarrhea,Diarrhoea
fevers,Pyrexia
febrile,Febrile convulsion
hyponatremia,Hyponatraemia
cough,Cough
VACCINATION FAILURE,Vaccination failure
Type 1 diabetes,Type 1 diabetes mellitus
vaccination failure,Vaccination failure
ADVERSE EVENT,Adverse event
adverse event,Adverse event
fever,Pyrexia
tired,Fatigue
COVID,Asymptomatic COVID-19
Increased flatulence,Flatulence
HEADACHE,Headache
CHILLS,Chills
vaccination site pain,Vaccination site pain
chills,Chills
FLATULENCE,Flatulence
PAIN,Pain
feeling hot,Feeling hot
AFFECTIVE DISORDER,Affective disorder
BMs,Eye movement disorder
affective disorder,Affective disorder
Pain at injection site,Injection site pain
flatulence,Flatulence
headache,Headache
pain,Pain
VACCINATION SITE PAIN,Vaccination site pain
Headache,Headache
No adverse event,No adverse event
PAIN IN EXTREMITY,Pain in extremity
PAIN,Pain
Arm pain,Pain
heart palpitations,Palpitations
Nausea,Nausea
pain in left arm,Pain
Eczema,Eczema
CHILLS,Chills
Fever,Pyrexia
painful,Pain
PYREXIA,Pyrexia
condition aggravated,Condition aggravated
MYALGIA,Myalgia
Eczema flare,Eczema
sore,Abdominal tenderness
pain in left arm),Pain
NAUSEA (Nausea),Nausea
NAUSEA (Nausea) outcome,Nausea
ECZEMA,Eczema
VACCINATION SITE PAIN,Vaccination site pain
ECZEMA (Eczema flare,Eczema
Chills,Chills
No adverse event,No adverse event
No adverse event,No adverse event
chills,Chills
CHILLS,Chills
TREMOR (uncontrollable shaking,Tremor
TREMOR,Tremor
temperature excursion,Product temperature excursion issue
flutters,Gait disturbance
new organizing pneumonia,Pneumonia
influenza,Influenza
non-small cell lung cancer,Small cell lung cancer
symptoms,Lower urinary tract symptoms
headache,Headache
diarrhea,Diarrhoea
immune mediated colitis,Colitis
fevers,Pyrexia
cough,Cough
tickle in throat,Tic
rashes,Rash
Swelling of tounge,Swelling
rash in various locations,Rash
a severe pain in my chest,Pain
each rash,Rash
Hives,Urticaria
hemoptysis,Haemoptysis
associated cough,Cough
secondary pneumonia,Pneumonia
acute encephalopathy,Encephalopathy
shock,Shock
dyspnea exertion,Dyspnoea exertional
Death,Death
fever,Pyrexia
Term pregnancy,Pregnancy
COVID,Asymptomatic COVID-19
No adverse event,No adverse event
adverse event,Adverse event
death,Death
both Acute and Chronic illnesses,Illness
ADVERSE EVENT,Adverse event
pain at the injection site,Injection site pain
tender,Abdominal tenderness
pain,Pain
metastatic melanoma,Tic
less swelling,Swelling
less pain,Pain
a single or several lymph nodes swelling,Swelling
worse pain,Pain
coughing,Cough
an adverse reaction,Adverse reaction
abdominal pain,Abdominal pain
pain,Pain
diarrhea,Diarrhoea
arm and muscle pain,Pain
vomiting,Vomiting
his chest pain,Chest pain
chest pain,Chest pain
adverse reaction,Adverse reaction
nausea,Nausea
dizziness postural,Dizziness postural
this weird dizziness,Dizziness
the dizziness,Dizziness
vertigo,Vertigo
DIZZINESS POSTURAL,Dizziness postural
VERTIGO,Vertigo
dizziness,Dizziness
gout,Gout
Epilepsy,Epilepsy
congestion,Ear congestion
symptoms,Lower urinary tract symptoms
skin cancer,Skin cancer
headache,Headache
fever,Pyrexia
arm pain,Pain
mild leukocytosis,Leukocytosis
visual hallucinations,"Hallucination, visual"
Chronic pain,Pain
neuropathy,Acute motor axonal neuropathy
edema,Oedema
fever,Pyrexia
sprouting of veins chest pain,Chest pain
headaches,Headache
bruising,Injection site bruising
swelling,Swelling
sweating,Hyperhidrosis
incurring severe pain,Pain
extremely painful,Pain
VOMITING,Vomiting
Horrible headache,Headache
HEADACHE,Headache
HEADACHE (Horrible headache) outcome,Headache
Death,Death
septic shock,Septic shock
chest pain,Chest pain
bumps,Swelling
SKIN DISORDER,Skin disorder
"Chronic Fatigue""",Fatigue
skin disorder,Skin disorder
Numbness,Apathy
fever,Pyrexia
a headache,Headache
fatigue,Fatigue
nausea,Nausea
chills,Chills
tiredness,Fatigue
dyspnea,Dyspnoea
symptoms,Lower urinary tract symptoms
chest pain,Chest pain
dyspnea,Dyspnoea
PE,Alopecia
pericardial effusion,Pericardial effusion
pericarditis,Pericarditis
chest pain,Chest pain
fever,Pyrexia
COVID-19 infection,COVID-19
No adverse event,No adverse event
symptoms,Lower urinary tract symptoms
vaccination failure,Vaccination failure
Deep fatigue,Fatigue
"Constant, pounding headache upper left quadrant of skull",Headache
axillary pain,Axillary pain
normally armpit tenderness,Tenderness
a little tenderness,Tenderness
AXILLARY PAIN,Axillary pain
pulsating pain,Pain
BURNING SENSATION,Burning sensation
a pretty high pain tolerance,Pain
PAIN IN EXTREMITY,Pain in extremity
super painful,Pain
pain in extremity,Pain in extremity
burning sensation,Burning sensation
headache,Headache
fever,Pyrexia
fatigue,Fatigue
cough,Cough
Cough,Cough
severe fatigue,Fatigue
pain,Pain
an injury,Injury
breakouts,Breakthrough COVID-19
contact dermatitis,Dermatitis contact
lightly scratched,Scratch
hives,Urticaria
the rash/hives,Rash
extremely sensitive skin,Sensitive skin
itching,Muscle twitching
